,p_2,p_1,师傅的总收益
0,0.0,0.0,2.7
1,0.0,0.1,5.2
2,0.0,0.2,2.8
3,0.0,0.30000000000000004,6.0
4,0.0,0.4,6.8
5,0.0,0.5,6.0
6,0.0,0.6,2.8
7,0.0,0.7,3.6
8,0.0,0.7999999999999999,3.6
9,0.0,0.8999999999999999,3.6
10,0.1,0.0,9.7
11,0.1,0.1,9.8
12,0.1,0.2,13.2
13,0.1,0.30000000000000004,15.6
14,0.1,0.4,14.0
15,0.1,0.5,14.0
16,0.1,0.6,16.4
17,0.1,0.7,16.4
18,0.1,0.7999999999999999,16.4
19,0.1,0.8999999999999999,10.8
20,0.2,0.0,18.5
21,0.2,0.1,19.5
22,0.2,0.2,27.7
23,0.2,0.30000000000000004,26.0
24,0.2,0.4,32.4
25,0.2,0.5,28.4
26,0.2,0.6,26.8
27,0.2,0.7,28.4
28,0.2,0.7999999999999999,25.2
29,0.2,0.8999999999999999,22.8
30,0.30000000000000004,0.0,22.4
31,0.30000000000000004,0.1,34.5
32,0.30000000000000004,0.2,40.8
33,0.30000000000000004,0.30000000000000004,41.1
34,0.30000000000000004,0.4,50.0
35,0.30000000000000004,0.5,42.8
36,0.30000000000000004,0.6,42.8
37,0.30000000000000004,0.7,35.6
38,0.30000000000000004,0.7999999999999999,41.2
39,0.30000000000000004,0.8999999999999999,46.8
40,0.4,0.0,25.7
41,0.4,0.1,39.8
42,0.4,0.2,49.3
43,0.4,0.30000000000000004,55.2
44,0.4,0.4,58.3
45,0.4,0.5,58.8
46,0.4,0.6,62.8
47,0.4,0.7,58.0
48,0.4,0.7999999999999999,58.8
49,0.4,0.8999999999999999,62.8
50,0.5,0.0,25.1
51,0.5,0.1,41.3
52,0.5,0.2,57.1
53,0.5,0.30000000000000004,64.7
54,0.5,0.4,72.8
55,0.5,0.5,78.5
56,0.5,0.6,72.4
57,0.5,0.7,75.6
58,0.5,0.7999999999999999,78.0
59,0.5,0.8999999999999999,72.4
60,0.6,0.0,21.5
61,0.6,0.1,40.0
62,0.6,0.2,57.5
63,0.6,0.30000000000000004,72.3
64,0.6,0.4,84.4
65,0.6,0.5,90.3
66,0.6,0.6,82.7
67,0.6,0.7,93.2
68,0.6,0.7999999999999999,92.4
69,0.6,0.8999999999999999,94.8
70,0.7,0.0,14.3
71,0.7,0.1,38.0
72,0.7,0.2,56.4
73,0.7,0.30000000000000004,73.1
74,0.7,0.4,85.7
75,0.7,0.5,99.7
76,0.7,0.6,106.8
77,0.7,0.7,106.5
78,0.7,0.7999999999999999,110.8
79,0.7,0.8999999999999999,109.2
80,0.7999999999999999,0.0,13.8
81,0.7999999999999999,0.1,33.8
82,0.7999999999999999,0.2,55.7
83,0.7999999999999999,0.30000000000000004,73.3
84,0.7999999999999999,0.4,89.3
85,0.7999999999999999,0.5,104.7
86,0.7999999999999999,0.6,113.0
87,0.7999999999999999,0.7,121.5
88,0.7999999999999999,0.7999999999999999,120.3
89,0.7999999999999999,0.8999999999999999,122.8
90,0.8999999999999999,0.0,15.0
91,0.8999999999999999,0.1,36.9
92,0.8999999999999999,0.2,57.0
93,0.8999999999999999,0.30000000000000004,73.2
94,0.8999999999999999,0.4,91.5
95,0.8999999999999999,0.5,105.7
96,0.8999999999999999,0.6,119.2
97,0.8999999999999999,0.7,131.6
98,0.8999999999999999,0.7999999999999999,137.3
99,0.8999999999999999,0.8999999999999999,137.3
